pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,building_count,extent_m2,mean_height_m,builtup_density
21,389,Gajapati,2022,1.1343964455351738e7,6.891234505540536e7,244856.71350707836,2.817319982822189e8,6.074802625363888,0.04026509066956665
21,389,Gajapati,2023,1.1667420168928836e7,7.000658885989861e7,255871.02251042405,3.022448201648783e8,6.000177232524042,0.038602547969437864
21,390,Kandhamal,2016,1.3443263256453939e7,9.733537324926078e7,249717.02073843824,3.553698895602825e8,7.240457275321996,0.03782893163258142
21,390,Kandhamal,2017,1.4179236475391004e7,9.525775082151823e7,285129.46816254687,3.751593086570159e8,6.718115674764597,0.037795240976825045
21,390,Kandhamal,2018,1.4838249811436713e7,1.0038290366503231e8,304842.84630885976,3.987401864053501e8,6.7651444705871775,0.037212827593836977
21,390,Kandhamal,2019,1.544454818083238e7,1.0295380717268005e8,323049.1979927846,4.0485211856329274e8,6.666029071698708,0.03814861642725441
21,390,Kandhamal,2020,1.5674658061725069e7,1.0471872918698595e8,321397.38485343865,4.2169789020916814e8,6.680766417654228,0.0371703497353288
21,390,Kandhamal,2021,1.685410447596412e7,1.221643834587886e8,332893.3939450945,4.296420808783356e8,7.248346160011585,0.03922824422018569
21,390,Kandhamal,2022,1.6108971105731234e7,9.620319958104856e7,344571.65741691244,4.172260661213925e8,5.972026329280675,0.038609694872334045
21,390,Kandhamal,2023,1.6331038423279786e7,8.794291354683925e7,357622.8065623108,4.2768305923678e8,5.385016633203019,0.038184908358126865
21,391,Baudh,2016,8.147383547056399e6,6.12759544330849e7,164587.14785934266,1.5112574956545648e8,7.520936516511921,0.053911286266458226
21,391,Baudh,2017,8.394660996105326e6,5.8630944881760165e7,185071.57576241196,1.5903122592555147e8,6.984313590383434,0.05278624337609762
21,391,Baudh,2018,8.99069129101484e6,6.6285176301556885e7,188982.99637205724,1.7042888233509883e8,7.372645123273365,0.05275333128886723
21,391,Baudh,2019,9.320882091944227e6,6.757914194510688e7,198041.89260499316,1.802257951560164e8,7.25029469083335,0.05171780257024474
21,391,Baudh,2020,9.702727378556266e6,7.058451600960943e7,200636.39704057205,1.8823474989283857e8,7.274708775761993,0.051545888227758144
21,391,Baudh,2021,1.0299818654665202e7,7.651856169365129e7,207960.62225963577,1.9780546903411457e8,7.429117371789158,0.05207044428528334
